school,major,risk_level,source_present,official_source_type,required_recommended_mixed,numeric_score_suspect,gpa_suspect,credit_suspect,same_requirements_as_other_majors,needs_official_check,notes
Ohio State University,Industrial & Systems Engineering,verified,true,official_site,false,false,false,false,false,false,None
Ohio State University,Materials Science & Engineering,verified,true,official_site,false,false,false,false,false,false,None
Ohio State University,Welding Engineering,verified,true,official_site,false,false,false,false,false,false,None
Ohio State University,Engineering Physics,verified,true,official_site,false,false,false,false,false,false,None
Ohio State University,Aviation Engineering,verified,true,official_site,false,false,false,false,false,false,None
University of Illinois Urbana-Champaign (UIUC),Computer Science,verified,true,official_site,false,false,false,false,false,false,None
University of Illinois Urbana-Champaign (UIUC),Data Science,verified,true,official_site,false,false,false,false,false,false,None
University of Illinois Urbana-Champaign (UIUC),Information Technology,verified,true,official_site,false,false,false,false,false,false,None
University of Illinois Urbana-Champaign (UIUC),Computer Engineering,verified,true,official_site,false,false,false,false,false,false,None
University of Illinois Urbana-Champaign (UIUC),Electrical Engineering,verified,true,official_site,false,false,false,false,false,false,None
University of Illinois Urbana-Champaign (UIUC),Mechanical Engineering,verified,true,official_site,false,false,false,false,false,false,None
University of Illinois Urbana-Champaign (UIUC),Civil Engineering,verified,true,official_site,false,false,false,false,false,false,None
University of Illinois Urbana-Champaign (UIUC),Chemical Engineering,verified,true,official_site,false,false,false,false,false,false,None
University of Illinois Urbana-Champaign (UIUC),Biomedical Engineering,verified,true,official_site,false,false,false,false,false,false,None
University of Illinois Urbana-Champaign (UIUC),Industrial Engineering,verified,true,official_site,false,false,false,false,false,false,None
University of Illinois Urbana-Champaign (UIUC),Aerospace Engineering,verified,true,official_site,false,false,false,false,false,false,None
University of Illinois Urbana-Champaign (UIUC),Business Administration,verified,true,official_site,false,false,false,false,false,false,None
University of Illinois Urbana-Champaign (UIUC),Finance,verified,true,official_site,false,false,false,false,false,false,None
University of Illinois Urbana-Champaign (UIUC),Accounting,verified,true,official_site,false,false,false,false,false,false,None
University of Illinois Urbana-Champaign (UIUC),Marketing,verified,true,official_site,false,false,false,false,false,false,None
University of Illinois Urbana-Champaign (UIUC),Management,verified,true,official_site,false,false,false,false,false,false,None
University of Illinois Urbana-Champaign (UIUC),Economics,verified,true,official_site,false,false,false,false,false,false,None
University of Illinois Urbana-Champaign (UIUC),Psychology,verified,true,official_site,false,false,false,false,false,false,None
University of Illinois Urbana-Champaign (UIUC),Political Science,verified,true,official_site,false,false,false,false,false,false,None
University of Illinois Urbana-Champaign (UIUC),Sociology,verified,true,official_site,false,false,false,false,false,false,None
University of Illinois Urbana-Champaign (UIUC),History,verified,true,official_site,false,false,false,false,false,false,None
University of Illinois Urbana-Champaign (UIUC),English,verified,true,official_site,false,false,false,false,false,false,None
University of Illinois Urbana-Champaign (UIUC),Communications,verified,true,official_site,false,false,false,false,false,false,None
University of Illinois Urbana-Champaign (UIUC),Biology,verified,true,official_site,false,false,false,false,false,false,None
University of Illinois Urbana-Champaign (UIUC),Biochemistry,verified,true,official_site,false,false,false,false,false,false,None
University of Illinois Urbana-Champaign (UIUC),Chemistry,verified,true,official_site,false,false,false,false,false,false,None
University of Illinois Urbana-Champaign (UIUC),Physics,verified,true,official_site,false,false,false,false,false,false,None
University of Illinois Urbana-Champaign (UIUC),Mathematics,verified,true,official_site,false,false,false,false,false,false,None
University of Illinois Urbana-Champaign (UIUC),Statistics,verified,true,official_site,false,false,false,false,false,false,None
University of Illinois Urbana-Champaign (UIUC),Public Health,verified,true,official_site,false,false,false,false,false,false,None
University of Illinois Urbana-Champaign (UIUC),Nursing,verified,true,official_site,false,false,false,false,false,false,None
University of Illinois Urbana-Champaign (UIUC),International Relations,verified,true,official_site,false,false,false,false,false,false,None
University of Illinois Urbana-Champaign (UIUC),Philosophy,verified,true,official_site,false,false,false,false,false,false,None
University of Illinois Urbana-Champaign (UIUC),Agricultural & Biological Engineering,verified,true,official_site,false,false,false,false,false,false,None
University of Illinois Urbana-Champaign (UIUC),Bioengineering,verified,true,official_site,false,false,false,false,false,false,None
University of Illinois Urbana-Champaign (UIUC),Computer Science (BS),verified,true,official_site,false,false,false,false,false,false,None
University of Illinois Urbana-Champaign (UIUC),Engineering Mechanics,verified,true,official_site,false,false,false,false,false,false,None
University of Illinois Urbana-Champaign (UIUC),Environmental Engineering,verified,true,official_site,false,false,false,false,false,false,None
University of Illinois Urbana-Champaign (UIUC),Materials Science & Engineering,verified,true,official_site,false,false,false,false,false,false,None
University of Illinois Urbana-Champaign (UIUC),Neural Engineering,verified,true,official_site,false,false,false,false,false,false,None
University of Illinois Urbana-Champaign (UIUC),"Nuclear, Plasma & Radiological Eng. (NPRE)",verified,true,official_site,false,false,false,false,false,false,None
University of Illinois Urbana-Champaign (UIUC),NPRE + Data Science (dual degree),verified,true,official_site,false,false,false,false,false,false,None
University of Illinois Urbana-Champaign (UIUC),Physics (Engineering Physics),verified,true,official_site,false,false,false,false,false,false,None
University of Illinois Urbana-Champaign (UIUC),Systems Engineering & Design,verified,true,official_site,false,false,false,false,false,false,None
University of Illinois Urbana-Champaign (UIUC),CS + Bioengineering (dual degree),verified,true,official_site,false,false,false,false,false,false,None
University of Illinois Urbana-Champaign (UIUC),CS + Physics (dual degree),verified,true,official_site,false,false,false,false,false,false,None
University of Illinois Urbana-Champaign (UIUC),Chemical Engineering (LAS — NOT Grainger),verified,true,official_site,false,false,false,false,false,false,None
New York University,Computer Science,verified,true,official_site,false,false,false,false,false,false,None
New York University,Data Science,verified,true,official_site,false,false,false,false,false,false,None
New York University,Information Technology,verified,true,official_site,false,false,false,false,false,false,None
New York University,Computer Engineering,verified,true,official_site,false,false,false,false,false,false,None
New York University,Electrical Engineering,verified,true,official_site,false,false,false,false,false,false,None
New York University,Mechanical Engineering,verified,true,official_site,false,false,false,false,false,false,None
New York University,Civil Engineering,verified,true,official_site,false,false,false,false,false,false,None
New York University,Chemical Engineering,verified,true,official_site,false,false,false,false,false,false,None
New York University,Biomedical Engineering,verified,true,official_site,false,false,false,false,false,false,None
New York University,Industrial Engineering,verified,true,official_site,false,false,false,false,false,false,None
